SimulationTime(sec),Name,UUID,ForceIdentifier,EntitySymbol,PositionLat(deg),PositionLon(deg),PositionAlt(m),Orientation(deg),Speed(km/h),DamageState,Power,PowerDistribution,DetectedEntityID,DetectedEntityDistance(m),Echelon,MOS
30,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.96998,127.17721,120.17941,334.75,0,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
60,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97012,127.17725,121.33537,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
90,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97026,127.1773,122.07616,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
120,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.9704,127.17734,122.77954,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
150,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97054,127.17738,123.11683,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
180,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97068,127.17743,123.85816,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
210,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97082,127.17747,125.63393,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
240,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97096,127.17751,129.00754,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
270,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.9711,127.17756,133.34547,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
300,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97124,127.1776,138.8439,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
330,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97138,127.17764,143.83932,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
360,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97152,127.17769,149.51871,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
390,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97166,127.17773,154.08153,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
420,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.9718,127.17778,158.37375,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
450,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97194,127.17782,162.34634,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
480,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97208,127.17786,165.73064,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
510,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97222,127.17791,168.69518,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
540,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97236,127.17795,169.40192,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
570,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.9725,127.17799,164.83426,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
600,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97264,127.17804,158.9451,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
630,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97278,127.17808,154.43579,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
660,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97292,127.17813,150.57129,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
690,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97306,127.17817,147.5042,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
720,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.9732,127.17821,144.84521,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
750,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97334,127.17826,143.04274,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
780,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97348,127.1783,141.06317,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
810,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97362,127.17834,138.22824,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
840,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97376,127.17839,133.94783,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
870,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.9739,127.17843,130.36592,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
900,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97404,127.17848,126.27887,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
930,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97418,127.17852,121.24611,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
960,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97432,127.17856,117.18127,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
990,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97446,127.17861,116.07233,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
1020,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.9746,127.17865,116,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
1050,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97474,127.17869,115.88068,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
1080,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97488,127.17874,116,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
1110,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97502,127.17878,116.38662,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
1140,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97516,127.17882,118.38918,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
1170,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97529,127.17887,122.10667,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
1200,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97543,127.17891,126.45013,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
1230,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97557,127.17896,128.52443,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
1260,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97571,127.179,130.17461,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
1290,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97585,127.17904,129.57463,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
1320,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97599,127.17909,127.79193,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
1350,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97613,127.17913,125.50964,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
1380,B-1-1-Unit1,5802552b-bb19-411c-860b-a8f82253ea36,1,SFG-UCI----D---,37.97627,127.17917,125.36037,347.44,0.6,NoDamage,100,[72;4;4;4;4;4;4;4],[],[],소대,보병
