SimulationTime(sec),Name,UUID,ForceIdentifier,EntitySymbol,PositionLat(deg),PositionLon(deg),PositionAlt(m),Orientation(deg),Speed(km/h),DamageState,Power,PowerDistribution,DetectedEntityID,DetectedEntityDistance(m),Echelon,MOS
30.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05905,127.17343,117.43124,154.68,0.0,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
60.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05888,127.17619,113.97343,94.35,8.3,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
90.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05870,127.17896,133.33362,94.35,8.3,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
120.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05865,127.17980,163.98439,94.35,8.3,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
150.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05865,127.17980,163.98439,274.35,0.0,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
180.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05850,127.17980,158.62570,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
210.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05835,127.17979,151.59402,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
240.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05820,127.17979,144.45454,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
270.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05805,127.17979,138.72818,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
300.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05790,127.17978,135.63803,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
330.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05775,127.17978,136.12117,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
360.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05760,127.17977,138.61734,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
390.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05745,127.17977,143.45108,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
420.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05730,127.17977,150.51724,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
450.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05715,127.17976,159.78116,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
480.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05700,127.17976,168.30075,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
510.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05685,127.17975,177.20473,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
540.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05671,127.17975,186.42662,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
570.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05656,127.17975,196.81599,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
600.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05641,127.17974,207.33884,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
630.000,R-1-1-Unit1,22218831-e242-44ce-886d-cabb9440773a,2,SHG-UCI----D---,38.05626,127.17974,217.73610,155.67,0.6,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
