SimulationTime(sec),Name,UUID,ForceIdentifier,EntitySymbol,PositionLat(deg),PositionLon(deg),PositionAlt(m),Orientation(deg),Speed(km/h),DamageState,Power,PowerDistribution,DetectedEntityID,DetectedEntityDistance(m),Echelon,MOS
30.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96944,127.17899,124.31811,334.75,0.0,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
60.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96926,127.17904,126.64645,144.46,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
90.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96909,127.17910,130.81993,142.49,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
120.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96892,127.17918,137.89275,139.77,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
150.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96877,127.17928,140.80098,135.67,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
180.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96863,127.17941,145.40703,128.37,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
210.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96857,127.17960,146.63506,109.63,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
240.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96868,127.17973,143.68582,29.38,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
270.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96882,127.17978,142.60068,347.44,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
300.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96896,127.17982,143.18320,347.44,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
330.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96910,127.17987,141.90329,347.44,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
360.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96924,127.17991,138.58690,347.44,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
390.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96938,127.17995,134.77274,347.44,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
420.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96952,127.18000,134.00000,347.44,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
450.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96966,127.18004,135.81857,347.44,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
480.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96980,127.18008,138.79158,347.44,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
510.000,B-1-1-MachineGunUnit,032ee846-8d25-4627-a6f6-8e93a80a617a,1,SFG-UCI----B---,37.96994,127.18013,143.92795,347.44,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],분대,보병
