SimulationTime(sec),Name,UUID,ForceIdentifier,EntitySymbol,PositionLat(deg),PositionLon(deg),PositionAlt(m),Orientation(deg),Speed(km/h),DamageState,Power,PowerDistribution,DetectedEntityID,DetectedEntityDistance(m),Echelon,MOS
30.000,R-1-1-Unit3,f35145a5-2275-4410-846d-c51364300fc9,2,SHG-UCI----D---,38.06057,127.17414,138.68884,154.68,0.0,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
60.000,R-1-1-Unit3,f35145a5-2275-4410-846d-c51364300fc9,2,SHG-UCI----D---,38.05826,127.17242,141.05884,187.00,10.0,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
90.000,R-1-1-Unit3,f35145a5-2275-4410-846d-c51364300fc9,2,SHG-UCI----D---,38.05675,127.17418,213.75754,125.47,10.0,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
120.000,R-1-1-Unit3,f35145a5-2275-4410-846d-c51364300fc9,2,SHG-UCI----D---,38.05670,127.17503,212.81496,94.35,10.0,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
150.000,R-1-1-Unit3,f35145a5-2275-4410-846d-c51364300fc9,2,SHG-UCI----D---,38.05670,127.17503,212.81496,274.35,0.0,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
180.000,R-1-1-Unit3,f35145a5-2275-4410-846d-c51364300fc9,2,SHG-UCI----D---,38.05687,127.17494,210.93550,319.16,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
210.000,R-1-1-Unit3,f35145a5-2275-4410-846d-c51364300fc9,2,SHG-UCI----D---,38.05703,127.17485,205.30392,317.90,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
240.000,R-1-1-Unit3,f35145a5-2275-4410-846d-c51364300fc9,2,SHG-UCI----D---,38.05719,127.17476,200.86044,316.26,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
270.000,R-1-1-Unit3,f35145a5-2275-4410-846d-c51364300fc9,2,SHG-UCI----D---,38.05735,127.17464,199.34247,313.98,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
300.000,R-1-1-Unit3,f35145a5-2275-4410-846d-c51364300fc9,2,SHG-UCI----D---,38.05750,127.17452,193.68661,310.48,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
