SimulationTime(sec),Name,UUID,ForceIdentifier,EntitySymbol,PositionLat(deg),PositionLon(deg),PositionAlt(m),Orientation(deg),Speed(km/h),DamageState,Power,PowerDistribution,DetectedEntityID,DetectedEntityDistance(m),Echelon,MOS
30.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.97003,127.17937,139.02687,334.75,0.0,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
60.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.96997,127.17959,140.47964,107.19,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
90.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.96991,127.17981,141.55310,104.85,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
120.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.96987,127.18003,140.77795,102.23,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
150.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.96984,127.18025,141.94330,99.28,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
180.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.96982,127.18047,142.95625,95.94,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
210.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.96981,127.18070,143.48260,92.14,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
240.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.96982,127.18092,143.13301,87.82,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
270.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.96984,127.18114,143.79922,82.90,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
300.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.96988,127.18136,147.03265,77.32,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
330.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.96993,127.18158,149.80899,71.07,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
360.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.96999,127.18178,151.56122,64.17,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
390.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.97007,127.18198,148.33096,56.75,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
420.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.97016,127.18216,145.77615,49.01,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
450.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.97027,127.18234,143.18111,41.25,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
480.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.97038,127.18250,141.62088,33.76,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
510.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.97050,127.18266,141.95021,26.80,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
540.000,B-1-1-Unit2,5ce69755-894d-46bc-b414-3d912e9c326e,1,SFG-UCI----D---,37.97064,127.18280,141.06836,20.53,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
